severity_1-day,severity_2-day,severity_3-day,severity_4-day,severity_5-day,severity_6-day,severity_7-day,total_deaths_hospital,hospital_name,cms_certification_number,countyfips,countyname,statename,system_affiliation,latitude,longitude
3,3,3,3,3,3,3,3360.43,Montefiore Hospital- Moses Campus,330059,36005,Bronx,NY,"Montefiore Health System - Bronx, NY",40.88,-73.88
3,3,3,3,3,3,3,2237.2,Cedars-Sinai Medical Center,50625,6037,Los Angeles,CA,"Cedars Sinai Health System - Los Angeles, CA",34.08,-118.38
3,3,3,3,3,3,3,2051.16,NewYork-Presbyterian  Queens Hospital,330055,36081,Queens,NY,"New York-Presbyterian Healthcare System - New York, NY",40.75,-73.83
3,3,3,3,3,3,3,1672.81,Jamaica Hospital Medical Center,330014,36081,Queens,NY,"Not In Any System - ,",40.7,-73.82
3,3,3,3,3,3,3,1636.12,Maimonides Medical Center,330194,36047,Kings,NY,"Not In Any System - ,",40.64,-74
3,3,3,3,3,3,3,1622.01,NYC Health + Hospitals Elmhurst,330128,36081,Queens,NY,"NYC Health + Hospitals - New York, NY",40.74,-73.89
3,3,3,3,3,3,3,1493.19,Saint Joseph's University Medical Center,310019,34031,Passaic,NJ,"Saint Joseph's Healthcare System - Paterson, NJ",40.9,-74.17
3,3,3,3,3,3,3,1489.36,Henry Ford Hospital,230053,26163,Wayne,MI,"Henry Ford Health System - Detroit, MI",42.37,-83.08
3,3,3,3,3,3,3,1427.01,Los Angeles County and University of Southern California Medical Center,50373,6037,Los Angeles,CA,"Los Angeles County, Department of Health Services - Los Angeles, CA",34.06,-118.21
3,3,3,3,3,3,3,1309.69,Ronald Reagan UCLA Medical Center,50262,6037,Los Angeles,CA,"University of California Health - Oakland, CA",34.07,-118.44
3,3,3,3,3,3,3,1240.94,The University of Texas M. D. Anderson Cancer Center,450076,48201,Harris,TX,"University of Texas System - Dallas, TX",29.71,-95.4
3,3,3,3,3,3,3,1228.4,NYU Langone Hospital - Brooklyn,330306,36047,Kings,NY,"NYU Langone Health - New York, NY",40.65,-74.02
3,3,3,3,3,3,3,1228.1,Hackensack University Medical Center,310001,34003,Bergen,NJ,"Hackensack Meridian Health - Hackensack, NJ",40.88,-74.06
3,3,3,3,3,3,3,1227.3,Staten Island University Hospital,330160,36085,Richmond,NY,"Northwell Health - Great Neck, NY",40.58,-74.09
3,3,3,3,3,3,3,1202.21,Yale-New Haven Hospital,70022,9009,New Haven,CT,"Yale New Haven Health - New Haven, CT",41.3,-72.93
3,3,3,3,3,3,3,1169.37,New York Presbyterian/Weill Cornell Medical Center,330101,36061,New York,NY,"New York-Presbyterian Healthcare System - New York, NY",40.76,-73.96
3,3,3,3,3,3,3,1168.32,Parkland Hospital,450015,48113,Dallas,TX,"Not In Any System - ,",32.81,-96.84
3,3,3,3,3,3,3,1127.7,NewYork-Presbyterian Brooklyn Methodist Hospital,330236,36047,Kings,NY,"New York-Presbyterian Healthcare System - New York, NY",40.67,-73.98
3,3,3,3,3,3,3,1107.27,IntraCare North Hospital,454083,48201,Harris,TX,"Not In Any System - ,",30.02,-95.44
3,3,3,3,3,3,3,1063.65,Children's Hospital Los Angeles,53302,6037,Los Angeles,CA,"Not In Any System - ,",34.1,-118.29
3,3,3,3,3,3,3,1049.63,NYC Health + Hospitals Queens,330231,36081,Queens,NY,"NYC Health + Hospitals - New York, NY",40.72,-73.8
3,3,3,3,3,3,3,1032.32,Loma Linda University Medical Center,50327,6071,San Bernardino,CA,"Loma Linda University Healthcare - Loma Linda, CA",34.05,-117.26
3,3,3,3,3,3,3,1027.89,Rush University Medical Center,140119,17031,Cook,IL,"Rush System for Health - Chicago, IL",41.88,-87.67
3,3,3,3,3,3,3,1019.17,The Cleveland Clinic,360180,39035,Cuyahoga,OH,"Cleveland Clinic Health System - Cleveland, OH",41.5,-81.62
3,3,3,3,3,3,3,1017.43,UMass Memorial Medical Center - University Campus,220163,25027,Worcester,MA,"UMass Memorial Health Care - Worcester, MA",42.28,-71.76
3,3,3,3,3,3,3,987.12,Stony Brook University Hospital,330393,36103,Suffolk,NY,"Stony Brook Medicine - Stony Brook, NY",40.91,-73.12
3,3,3,3,3,3,3,981.28,Mayo Clinic Hospital,30103,4013,Maricopa,AZ,"Mayo Clinic Health System - Rochester, MN",33.66,-111.96
3,3,3,3,3,3,3,971.94,DHR Health,450869,48215,Hidalgo,TX,"Not In Any System - ,",26.25,-98.2
3,3,3,3,3,3,3,969.08,Long Island Jewish Medical Center,330195,36059,Nassau,NY,"Northwell Health - Great Neck, NY",40.75,-73.71
3,3,3,3,3,3,3,963.57,The Brookdale University Hospital and Medical Center,330233,36047,Kings,NY,"Not In Any System - ,",40.66,-73.91
3,3,3,3,3,3,3,948.95,South Shore Hospital,220100,25021,Norfolk,MA,"Not In Any System - ,",42.17,-70.95
3,3,3,3,3,3,3,943.22,Eisenhower Medical Center,50573,6065,Riverside,CA,"Not In Any System - ,",33.76,-116.41
3,3,3,3,3,3,3,940.58,NYC Health + Hospitals Kings County,330202,36047,Kings,NY,"NYC Health + Hospitals - New York, NY",40.66,-73.94
3,3,3,3,3,3,3,939.73,Charlton Memorial Hospital,220074,25005,Bristol,MA,"Southcoast Health System - New Bedford, MA",41.71,-71.15
3,3,3,3,3,3,3,924.4,Saint Joseph's Hospital and Medical Center,30024,4013,Maricopa,AZ,"CommonSpirit Health - Englewood, CO",33.48,-112.08
3,3,3,3,3,3,3,919.59,Baystate Medical Center,220077,25013,Hampden,MA,"Baystate Health System, Inc - Springfield, MA",42.12,-72.61
